"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FI4DIMQA","journalArticle","2021","Mitova, R.; Borisova, B.; Koulov, B.","Digital marketing of bulgarian natural heritage for tourism and recreation","Sustainability","","","10.3390/su132313071","https://doi.org/10.3390/su132313071","","2021","2023-10-18 09:46:18","2023-10-18 09:46:18","","13071","","23","13","","","","","","","","","","en","","","","","","","Citation Key: mitova2021a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/D37XMDF2/Mitova et al_2021_Digital marketing of bulgarian natural heritage for tourism and recreation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJN7WE8P","journalArticle","2022","Moreaux, C.; Meireles, D.A.L.; Sonne, J.; Badano, E.I.; Classen, A.; González-Chaves, A.; Hipólito, J.; Klein, A.-M.; Maruyama, P.K.; Metzger, J.P.; Philpott, S.M.; Rahbek, C.; Saturni, F.T.; Sritongchuay, T.; Tscharntke, T.; Uno, S.; Vergara, C.H.; Viana, B.F.; Strange, N.; Dalsgaard, B.","The value of biotic pollination and dense forest for fruit set of Arabica coffee: A global assessment","Agriculture, Ecosystems & Environment","","","10.1016/j.agee.2021.107680","https://doi.org/10.1016/j.agee.2021.107680","","2022","2023-10-18 09:46:18","2023-10-18 09:46:18","","107680","","","323","","","","","","","","","","en","","","","","","","Citation Key: moreaux2022a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/UCL9AJMJ/Moreaux et al_2022_The value of biotic pollination and dense forest for fruit set of Arabica coffee.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4J2YUCT","document","","","Nairobi-water-fund-business-Case<sub>F</sub>INAL.pdf","","","","","","","XXXX","2023-10-18 09:46:18","2023-10-18 09:46:18","","","","","","","","","","","","","","","en","","","","","","","Citation Key: unknown-c","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/LV7PH6JU/0000_Nairobi-water-fund-business-CasesubF-subINAL.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UHN42D7","journalArticle","2021","Nedkov, S.; Borisova, B.; Nikolova, M.; Zhiyanski, M.; Dimitrov, S.; Mitova, R.; Koulov, B.; Hristova, D.; Prodanova, H.; Semerdzhieva, L.; Dodev, Y.; Ihtimanski, I.; Stoyanova, V.","A methodological framework for mapping and assessment of ecosystem services provided by the natural heritage in Bulgaria","Journal of the Bulgarian Geographical Society","","","10.3897/jbgs.e78680","https://doi.org/10.3897/jbgs.e78680","","2021","2023-10-18 09:46:18","2023-10-18 09:46:18","","7–18","","","45","","","","","","","","","","en","","","","","","","Citation Key: nedkov2021a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/ALTD3TAQ/Nedkov et al_2021_A methodological framework for mapping and assessment of ecosystem services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8X7IEJY","journalArticle","2021","Nedkov, S.; Mitova, R.; Nikolova, M.; Borisova, B.; Hristova, D.; Semerdzhieva, L.; Zhiyanski, M.; Prodanova, H.","Prioritization of ecosystem services related to the natural heritage of Bulgaria","Journal of the Bulgarian Geographical Society","","","10.3897/jbgs.e73687","https://doi.org/10.3897/jbgs.e73687","","2021","2023-10-18 09:46:18","2023-10-18 09:46:18","","19–30","","","45","","","","","","","","","","en","","","","","","","Citation Key: nedkov2021b","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/QEILCXYC/Nedkov et al_2021_Prioritization of ecosystem services related to the natural heritage of Bulgaria.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHUJIBLH","journalArticle","2018","Schröter, M.; Koellner, T.; Alkemade, R.; Arnhold, S.; Bagstad, K.J.; Erb, K.-H.; Frank, K.; Kastner, T.; Kissinger, M.; Liu, J.; López-Hoffman, L.; Maes, J.; Marques, A.; Martín-López, B.; Meyer, C.; Schulp, C.J.E.; Thober, J.; Wolff, S.; Bonn, A.","Interregional flows of ecosystem services: Concepts, typology and four cases","Ecosystem Services","","","10.1016/j.ecoser.2018.02.003","https://doi.org/10.1016/j.ecoser.2018.02.003","","2018","2023-10-18 09:46:18","2023-10-18 09:46:18","","231–241","","","31","","","","","","","","","","en","","","","","","","Citation Key: schroeter2018a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/FQMHGJ4V/Schröter et al_2018_Interregional flows of ecosystem services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMPZH2GK","journalArticle","2019","Skouloudis, A.; Malesios, C.; Dimitrakopoulos, P.G.","Corporate biodiversity accounting and reporting in mega-diverse countries: An examination of indicators disclosed in sustainability reports","Ecological Indicators","","","10.1016/j.ecolind.2018.11.060","https://doi.org/10.1016/j.ecolind.2018.11.060","","2019","2023-10-18 09:46:18","2023-10-18 09:46:18","","888–901","","","98","","","","","","","","","","en","","","","","","","Citation Key: skouloudis2019a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/JT7LB3KX/Skouloudis et al_2019_Corporate biodiversity accounting and reporting in mega-diverse countries.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9UYBKG4","journalArticle","2018","Watson, S.; Newton, A.","Dependency of businesses on flows of ecosystem services: A case study from the county of dorset, UK","Sustainability","","","10.3390/su10051368","https://doi.org/10.3390/su10051368","","2018","2023-10-18 09:46:18","2023-10-18 09:46:18","","","","5","10","","","","","","","","","","en","","","","","","","Citation Key: watson2018a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/FS2W3H7L/Watson_Newton_2018_Dependency of businesses on flows of ecosystem services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LQLP5H5","book","2021","Dasgupta, Partha; Großbritannien","The economics of biodiversity: the Dasgupta review: full report","","978-1-911680-29-1","","","","","2021","2023-10-18 10:01:53","2023-10-18 10:01:53","","","610","","","","","The economics of biodiversity","","","","","HM Treasury","London","eng","","","","","K10plus ISBN","","","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/GIFC5ZQJ/Dasgupta_2021_The economics of biodiversity.pdf","","","","","","","Großbritannien","","","","","","","","","","","","","","","","Updated: 18 February 2021","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8UNYLTM","journalArticle","2019","Hanley, Nick; Perrings, Charles","The Economic Value of Biodiversity","Annual Review of Resource Economics","","1941-1340, 1941-1359","10.1146/annurev-resource-100518-093946","https://www.annualreviews.org/doi/10.1146/annurev-resource-100518-093946","Biodiversity is declining worldwide, and the costs of biodiversity losses are increasingly being recognized by economists. In this article, we first review the multiple meanings of biodiversity, moving from species richness and simple abundance-weighted species counts to more complex measures that take account of taxonomic distance and functionality. We then explain the ways in which protecting biodiversity generates economic benefits in terms of direct and indirect values. Empirical approaches to estimating direct and indirect values are presented, along with a selection of recent evidence on how substantial these values are. The use of asset accounting approaches to track biodiversity values over time is discussed, in the context of sustainable development paths. Finally, we review some important challenges in valuing biodiversity that remain to be solved.","2019-10-05","2023-10-18 10:07:44","2023-10-18 10:07:44","2023-10-18 10:07:44","355-375","","1","11","","Annu. Rev. Resour. Econ.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/AZC2DGC3/Hanley_Perrings_2019_The economic value of biodiversity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
